Pmax (MW),Pmin (MW),Zone,Type,Flag_RET,Flag_thermal,Flag_VRE,Flag_mustrun,Cost ($/MWh),EF,CC,AF
192,0,BGE,NGCT_CCS,0,1,0,0,37.65,0,0.98,1
141,0,BGE,NGCT_CCS,0,1,0,0,37.65,0,0.98,1
10,0,APS_MD,Hydro,0,0,1,0,6,0,0.5,0.3
10,0,APS_MD,Hydro,0,0,1,0,6,0,0.5,0.3
659,0,PEPCO,NGCT_CCS,0,1,0,0,37.65,0,0.98,1
659,0,PEPCO,NGCT_CCS,0,1,0,0,37.65,0,0.98,1
103,0,PEPCO,NGCT_CCS,0,1,0,0,37.65,0,0.98,1
103,0,PEPCO,NGCT_CCS,0,1,0,0,37.65,0,0.98,1
125,0,PEPCO,NGCT_CCS,0,1,0,0,37.65,0,0.98,1
125,0,PEPCO,NGCT_CCS,0,1,0,0,37.65,0,0.98,1
163,0,PEPCO,NGCT_CCS,0,1,0,0,37.65,0,0.98,1
163,0,PEPCO,NGCT_CCS,0,1,0,0,37.65,0,0.98,1
45,0,BGE,Hydro,0,0,1,0,6,0,0.5,0.3
55.6,0,BGE,Hydro,0,0,1,0,6,0,0.5,0.3
55.6,0,BGE,Hydro,0,0,1,0,6,0,0.5,0.3
36,0,BGE,Hydro,0,0,1,0,6,0,0.5,0.3
48,0,BGE,Hydro,0,0,1,0,6,0,0.5,0.3
47.7,0,BGE,Hydro,0,0,1,0,6,0,0.5,0.3
36,0,BGE,Hydro,0,0,1,0,6,0,0.5,0.3
47.7,0,BGE,Hydro,0,0,1,0,6,0,0.5,0.3
48,0,BGE,Hydro,0,0,1,0,6,0,0.5,0.3
55.6,0,BGE,Hydro,0,0,1,0,6,0,0.5,0.3
55.6,0,BGE,Hydro,0,0,1,0,6,0,0.5,0.3
918,400,PEPCO,Nuc,0,1,0,1,9,0,0.99,1
932.4,400,PEPCO,Nuc,0,1,0,1,9,0,0.99,1
2,0,DPL_MD,NGCT_CCS,0,1,0,0,37.65,0,0.98,1
198.9,0,DPL_MD,NGCT_CCS,0,1,0,0,37.65,0,0.98,1
175.9,0,DPL_MD,NGCT_CCS,0,1,0,0,37.65,0,0.98,1
198.9,0,DPL_MD,NGCT_CCS,0,1,0,0,37.65,0,0.98,1
198.9,0,DPL_MD,NGCT_CCS,0,1,0,0,37.65,0,0.98,1
60.2,0,BGE,MSW,0,1,0,0,15,1.49,0.43,1
4.3,0,BGE,MSW,0,1,0,0,15,1.49,0.43,1
1.9,0,DPL_MD,Bio,0,1,0,0,20,0.99,0.43,1
1.9,0,DPL_MD,Bio,0,1,0,0,20,0.99,0.43,1
0.9,0,PEPCO,Landfill_NG,0,1,0,0,15,0.39,0.43,1
0.9,0,PEPCO,Landfill_NG,0,1,0,0,15,0.39,0.43,1
0.9,0,PEPCO,Landfill_NG,0,1,0,0,15,0.39,0.43,1
67.8,0,PEPCO,MSW,0,1,0,0,15,1.49,0.43,1
5,0,BGE,NGCT_CCS,0,1,0,0,37.65,0,0.98,1
2.5,0,BGE,NGCT_CCS,0,1,0,0,37.65,0,0.98,1
10,0,BGE,NGCT_CCS,0,1,0,0,37.65,0,0.98,1
98.7,0,PEPCO,NGCC_CCS,0,1,0,0,27.76,0,0.98,1
98.7,0,PEPCO,NGCC_CCS,0,1,0,0,27.76,0,0.98,1
91.4,0,PEPCO,NGCC_CCS,0,1,0,0,27.76,0,0.98,1
1,0,PEPCO,Landfill_NG,0,1,0,0,15,0.39,0.43,1
1,0,PEPCO,Landfill_NG,0,1,0,0,15,0.39,0.43,1
1,0,PEPCO,Landfill_NG,0,1,0,0,15,0.39,0.43,1
1,0,PEPCO,Landfill_NG,0,1,0,0,15,0.39,0.43,1
11,0,PEPCO,NGCT_CCS,0,1,0,0,37.65,0,0.98,1
11,0,PEPCO,NGCT_CCS,0,1,0,0,37.65,0,0.98,1
5.4,0,PEPCO,NGCT_CCS,0,1,0,0,37.65,0,0.98,1
2.1,0,BGE,NGCT_CCS,0,1,0,0,37.65,0,0.98,1
1,0,BGE,Landfill_NG,0,1,0,0,15,0.39,0.43,1
1,0,BGE,Landfill_NG,0,1,0,0,15,0.39,0.43,1
1,0,BGE,Landfill_NG,0,1,0,0,15,0.39,0.43,1
28,0,PEPCO,NGCT_CCS,0,1,0,0,37.65,0,0.98,1
0.3,0,DPL_MD,Landfill_NG,0,1,0,0,15,0.39,0.43,1
0.3,0,DPL_MD,Landfill_NG,0,1,0,0,15,0.39,0.43,1
0.3,0,DPL_MD,Landfill_NG,0,1,0,0,15,0.39,0.43,1
0.3,0,DPL_MD,Landfill_NG,0,1,0,0,15,0.39,0.43,1
0.3,0,DPL_MD,Landfill_NG,0,1,0,0,15,0.39,0.43,1
0.3,0,DPL_MD,Landfill_NG,0,1,0,0,15,0.39,0.43,1
0.3,0,DPL_MD,Landfill_NG,0,1,0,0,15,0.39,0.43,1
0.3,0,DPL_MD,Landfill_NG,0,1,0,0,15,0.39,0.43,1
0.3,0,DPL_MD,Landfill_NG,0,1,0,0,15,0.39,0.43,1
0.3,0,DPL_MD,Landfill_NG,0,1,0,0,15,0.39,0.43,1
0.3,0,DPL_MD,Landfill_NG,0,1,0,0,15,0.39,0.43,1
0.3,0,DPL_MD,Landfill_NG,0,1,0,0,15,0.39,0.43,1
0.3,0,DPL_MD,Landfill_NG,0,1,0,0,15,0.39,0.43,1
0.3,0,DPL_MD,Landfill_NG,0,1,0,0,15,0.39,0.43,1
0.3,0,DPL_MD,Landfill_NG,0,1,0,0,15,0.39,0.43,1
0.3,0,DPL_MD,Landfill_NG,0,1,0,0,15,0.39,0.43,1
0.3,0,DPL_MD,Landfill_NG,0,1,0,0,15,0.39,0.43,1
0.3,0,DPL_MD,Landfill_NG,0,1,0,0,15,0.39,0.43,1
223.6,0,PEPCO,NGCC_CCS,0,1,0,0,27.76,0,0.98,1
223.6,0,PEPCO,NGCC_CCS,0,1,0,0,27.76,0,0.98,1
328.1,0,PEPCO,NGCC_CCS,0,1,0,0,27.76,0,0.98,1
40,0,APS_MD,WindOn,0,0,1,0,5,0,0.38,1
10,0,APS_MD,WindOn,0,0,1,0,5,0,0.38,1
70,0,APS_MD,WindOn,0,0,1,0,5,0,0.38,1
1.4,0,BGE,SolarPV,0,0,1,0,5,0,0.35,1
2,0,PEPCO,SolarPV,0,0,1,0,5,0,0.35,1
13.7,0,APS_MD,SolarPV,0,0,1,0,5,0,0.35,1
1,0,DPL_MD,SolarPV,0,0,1,0,5,0,0.35,1
2.1,0,DPL_MD,SolarPV,0,0,1,0,5,0,0.35,1
1,0,PEPCO,SolarPV,0,0,1,0,5,0,0.35,1
1,0,PEPCO,SolarPV,0,0,1,0,5,0,0.35,1
5.7,0,PEPCO,NGCT_CCS,0,1,0,0,37.65,0,0.98,1
5,0,PEPCO,NGCC_CCS,0,1,0,0,27.76,0,0.98,1
4.3,0,PEPCO,NGCT_CCS,0,1,0,0,37.65,0,0.98,1
4.3,0,PEPCO,NGCT_CCS,0,1,0,0,37.65,0,0.98,1
4.3,0,PEPCO,NGCT_CCS,0,1,0,0,37.65,0,0.98,1
4.3,0,PEPCO,NGCT_CCS,0,1,0,0,37.65,0,0.98,1
7.5,0,PEPCO,NGCC_CCS,0,1,0,0,27.76,0,0.98,1
7.5,0,PEPCO,NGCC_CCS,0,1,0,0,27.76,0,0.98,1
4.5,0,PEPCO,NGCC_CCS,0,1,0,0,27.76,0,0.98,1
1,0,DPL_MD,SolarPV,0,0,1,0,5,0,0.35,1
1,0,DPL_MD,SolarPV,0,0,1,0,5,0,0.35,1
1,0,DPL_MD,SolarPV,0,0,1,0,5,0,0.35,1
1.6,0,BGE,Landfill_NG,0,1,0,0,15,0.39,0.43,1
1.6,0,BGE,Landfill_NG,0,1,0,0,15,0.39,0.43,1
1,0,PEPCO,Landfill_NG,0,1,0,0,15,0.39,0.43,1
2.8,0,DPL_MD,SolarPV,0,0,1,0,5,0,0.35,1
27,0,APS_MD,SolarPV,0,0,1,0,5,0,0.35,1
5.5,0,PEPCO,SolarPV,0,0,1,0,5,0,0.35,1
2,0,DPL_MD,SolarPV,0,0,1,0,5,0,0.35,1
40,0,APS_MD,WindOn,0,0,1,0,5,0,0.38,1
1.1,0,BGE,Bio,0,1,0,0,20,0.99,0.43,1
1.1,0,BGE,Bio,0,1,0,0,20,0.99,0.43,1
0.8,0,BGE,SolarPV,0,0,1,0,5,0,0.35,1
30,0,APS_MD,WindOn,0,0,1,0,5,0,0.38,1
310.3,0,DPL_MD,NGCC_CCS,0,1,0,0,27.76,0,0.98,1
310.3,0,DPL_MD,NGCC_CCS,0,1,0,0,27.76,0,0.98,1
493,0,DPL_MD,NGCC_CCS,0,1,0,0,27.76,0,0.98,1
1.2,0,PEPCO,SolarPV,0,0,1,0,5,0,0.35,1
2,0,DPL_MD,SolarPV,0,0,1,0,5,0,0.35,1
10.3,0,PEPCO,SolarPV,0,0,1,0,5,0,0.35,1
1,0,BGE,SolarPV,0,0,1,0,5,0,0.35,1
3.2,0,DPL_MD,SolarPV,0,0,1,0,5,0,0.35,1
75,0,DPL_MD,SolarPV,0,0,1,0,5,0,0.35,1
1.1,0,APS_MD,SolarPV,0,0,1,0,5,0,0.35,1
1.6,0,PEPCO,SolarPV,0,0,1,0,5,0,0.35,1
1.6,0,DPL_MD,SolarPV,0,0,1,0,5,0,0.35,1
1,0,DPL_MD,SolarPV,0,0,1,0,5,0,0.35,1
359.6,0,PEPCO,NGCC_CCS,0,1,0,0,27.76,0,0.98,1
235.5,0,PEPCO,NGCC_CCS,0,1,0,0,27.76,0,0.98,1
235.5,0,PEPCO,NGCC_CCS,0,1,0,0,27.76,0,0.98,1
2,0,DPL_MD,SolarPV,0,0,1,0,5,0,0.35,1
1.2,0,BGE,SolarPV,0,0,1,0,5,0,0.35,1
1.6,0,BGE,SolarPV,0,0,1,0,5,0,0.35,1
1.5,0,DPL_MD,SolarPV,0,0,1,0,5,0,0.35,1
1.5,0,DPL_MD,SolarPV,0,0,1,0,5,0,0.35,1
10,0,DPL_MD,SolarPV,0,0,1,0,5,0,0.35,1
2,0,BGE,SolarPV,0,0,1,0,5,0,0.35,1
2,0,BGE,SolarPV,0,0,1,0,5,0,0.35,1
2,0,BGE,SolarPV,0,0,1,0,5,0,0.35,1
2,0,BGE,SolarPV,0,0,1,0,5,0,0.35,1
2,0,BGE,SolarPV,0,0,1,0,5,0,0.35,1
2,0,BGE,SolarPV,0,0,1,0,5,0,0.35,1
2,0,BGE,SolarPV,0,0,1,0,5,0,0.35,1
2,0,BGE,SolarPV,0,0,1,0,5,0,0.35,1
12,0,BGE,SolarPV,0,0,1,0,5,0,0.35,1
1.4,0,BGE,SolarPV,0,0,1,0,5,0,0.35,1
13.6,0,DPL_MD,SolarPV,0,0,1,0,5,0,0.35,1
6,0,DPL_MD,SolarPV,0,0,1,0,5,0,0.35,1
1.4,0,PEPCO,SolarPV,0,0,1,0,5,0,0.35,1
1.2,0,APS_MD,SolarPV,0,0,1,0,5,0,0.35,1
1.7,0,APS_MD,SolarPV,0,0,1,0,5,0,0.35,1
1,0,BGE,SolarPV,0,0,1,0,5,0,0.35,1
7.9,0,BGE,NGCT_CCS,0,1,0,0,37.65,0,0.98,1
1.1,0,BGE,SolarPV,0,0,1,0,5,0,0.35,1
1.4,0,BGE,SolarPV,0,0,1,0,5,0,0.35,1
9,0,APS_MD,SolarPV,0,0,1,0,5,0,0.35,1
15.7,0,APS_MD,SolarPV,0,0,1,0,5,0,0.35,1
1.9,0,PEPCO,SolarPV,0,0,1,0,5,0,0.35,1
1.6,0,PEPCO,SolarPV,0,0,1,0,5,0,0.35,1
5,0,DPL_MD,SolarPV,0,0,1,0,5,0,0.35,1
2.6,0,DPL_MD,SolarPV,0,0,1,0,5,0,0.35,1
94,0,PEPCO,NGCT_CCS,0,1,0,0,37.65,0,0.98,1
1.3,0,PEPCO,SolarPV,0,0,1,0,5,0,0.35,1
1.5,0,PEPCO,SolarPV,0,0,1,0,5,0,0.35,1
1.7,0,DPL_MD,SolarPV,0,0,1,0,5,0,0.35,1
4,0,PEPCO,SolarPV,0,0,1,0,5,0,0.35,1
1.8,0,BGE,SolarPV,0,0,1,0,5,0,0.35,1
5,0,PEPCO,SolarPV,0,0,1,0,5,0,0.35,1
2.5,0,PEPCO,SolarPV,0,0,1,0,5,0,0.35,1
7.5,0,DPL_MD,SolarPV,0,0,1,0,5,0,0.35,1
2,0,DPL_MD,SolarPV,0,0,1,0,5,0,0.35,1
1,0,BGE,SolarPV,0,0,1,0,5,0,0.35,1
1.7,0,BGE,SolarPV,0,0,1,0,5,0,0.35,1
2.3,0,BGE,SolarPV,0,0,1,0,5,0,0.35,1
2,0,DPL_MD,SolarPV,0,0,1,0,5,0,0.35,1
1.3,0,BGE,SolarPV,0,0,1,0,5,0,0.35,1
1,0,PEPCO,SolarPV,0,0,1,0,5,0,0.35,1
10,0,APS_MD,SolarPV,0,0,1,0,5,0,0.35,1
2,0,BGE,SolarPV,0,0,1,0,5,0,0.35,1
2,0,PEPCO,SolarPV,0,0,1,0,5,0,0.35,1
2,0,BGE,SolarPV,0,0,1,0,5,0,0.35,1
2,0,DPL_MD,SolarPV,0,0,1,0,5,0,0.35,1
2,0,PEPCO,SolarPV,0,0,1,0,5,0,0.35,1
1.6,0,APS_MD,SolarPV,0,0,1,0,5,0,0.35,1
1.1,0,BGE,SolarPV,0,0,1,0,5,0,0.35,1
2,0,PEPCO,SolarPV,0,0,1,0,5,0,0.35,1
2,0,APS_MD,SolarPV,0,0,1,0,5,0,0.35,1
2,0,DPL_MD,SolarPV,0,0,1,0,5,0,0.35,1
2,0,APS_MD,SolarPV,0,0,1,0,5,0,0.35,1
2,0,APS_MD,SolarPV,0,0,1,0,5,0,0.35,1
2,0,APS_MD,SolarPV,0,0,1,0,5,0,0.35,1
2,0,APS_MD,SolarPV,0,0,1,0,5,0,0.35,1
1.1,0,PEPCO,SolarPV,0,0,1,0,5,0,0.35,1
4.3,0,APS_MD,SolarPV,0,0,1,0,5,0,0.35,1
1.9,0,BGE,SolarPV,0,0,1,0,5,0,0.35,1
2,0,APS_MD,SolarPV,0,0,1,0,5,0,0.35,1
1,0,PEPCO,SolarPV,0,0,1,0,5,0,0.35,1
1.5,0,BGE,SolarPV,0,0,1,0,5,0,0.35,1
1.3,0,PEPCO,SolarPV,0,0,1,0,5,0,0.35,1
1.4,0,PEPCO,SolarPV,0,0,1,0,5,0,0.35,1
2,0,BGE,SolarPV,0,0,1,0,5,0,0.35,1
2,0,APS_MD,SolarPV,0,0,1,0,5,0,0.35,1
1.9,0,PEPCO,SolarPV,0,0,1,0,5,0,0.35,1
1.9,0,PEPCO,SolarPV,0,0,1,0,5,0,0.35,1
1.5,0,BGE,SolarPV,0,0,1,0,5,0,0.35,1
1,0,DPL_MD,SolarPV,0,0,1,0,5,0,0.35,1
2,0,APS_MD,SolarPV,0,0,1,0,5,0,0.35,1
2,0,PEPCO,SolarPV,0,0,1,0,5,0,0.35,1
20,0,DPL_MD,SolarPV,0,0,1,0,5,0,0.35,1
1.5,0,BGE,SolarPV,0,0,1,0,5,0,0.35,1
2,0,PEPCO,SolarPV,0,0,1,0,5,0,0.35,1
6,0,APS_MD,SolarPV,0,0,1,0,5,0,0.35,1
1.5,0,BGE,SolarPV,0,0,1,0,5,0,0.35,1
2,0,PEPCO,SolarPV,0,0,1,0,5,0,0.35,1
2,0,APS_MD,SolarPV,0,0,1,0,5,0,0.35,1
1.9,0,PEPCO,SolarPV,0,0,1,0,5,0,0.35,1
2000,0,DPL_MD,WindOff,0,0,1,0,5,0,0.38,1
